{'activations_time': 0.17079997062683105, 'fid': 9.14963038667338e-09, 'fid_time': 0.3249471187591553, 'kid': -0.3432225, 'kid_time': 6.6055588722229, 'precision': 1.0, 'recall': 1.0, 'f1_pr': 1.00001, 'precision_time': 1.2933447360992432, 'recall_time': 1.2933447360992432, 'f1_pr_time': 1.2933447360992432, 'density': 1.2000000000000002, 'coverage': 1.0, 'f1_dc': 1.090919173552968, 'density_time': 0.9852657318115234, 'coverage_time': 0.9852657318115234, 'f1_dc_time': 0.9852657318115234, 'mmd_rbf': 2.384185791015625e-07, 'mmd_rbf_time': 1.563662052154541, 'mmd_linear': 1.1368663e-14, 'mmd_linear_time': 0.17095422744750977, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.3360331058502197, 'nspdk_mmd': -3.3306690738754696e-16, 'nspdk_mmd_time': 14.797461986541748, 'degree_mmd': 5.868990926627404e-05, 'degree_mmd_time': 22.270421, 'cluster_mmd': 4.289640286314622e-05, 'cluster_mmd_time': 24.899871, 'spectral_mmd': 0.00038791734227672237, 'spectral_mmd_time': 42.949745, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0}
{'activations_time': 0.17285823822021484, 'fid': 0.6942992381013795, 'fid_time': 0.23213601112365723, 'kid': -0.20751363, 'kid_time': 0.2247462272644043, 'precision': 0.9639455782312926, 'recall': 0.9979591836734694, 'f1_pr': 0.9806675364767821, 'precision_time': 1.4606382846832275, 'recall_time': 1.4606382846832275, 'f1_pr_time': 1.4606382846832275, 'density': 1.1482993197278912, 'coverage': 1.0, 'f1_dc': 1.0690410799513141, 'density_time': 0.8837599754333496, 'coverage_time': 0.8837599754333496, 'f1_dc_time': 0.8837599754333496, 'mmd_rbf': 0.0004442930221557617, 'mmd_rbf_time': 1.5550930500030518, 'mmd_linear': 0.056977473, 'mmd_linear_time': 0.17295217514038086, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.614230155944824, 'nspdk_mmd': 0.00036010331376390425, 'nspdk_mmd_time': 15.717391967773438, 'degree_mmd': 0.00039241041564075374, 'degree_mmd_time': 24.930765, 'cluster_mmd': 0.0013644747215331154, 'cluster_mmd_time': 35.405632, 'spectral_mmd': 0.00045652390061801107, 'spectral_mmd_time': 49.313162, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.05}
{'activations_time': 0.191558837890625, 'fid': 0.6196311914045509, 'fid_time': 0.262739896774292, 'kid': 0.044764876, 'kid_time': 0.2357959747314453, 'precision': 0.9170068027210885, 'recall': 0.9979591836734694, 'f1_pr': 0.9557819394275859, 'precision_time': 1.1740148067474365, 'recall_time': 1.1740148067474365, 'f1_pr_time': 1.1740148067474365, 'density': 1.0783673469387756, 'coverage': 1.0, 'f1_dc': 1.0377162200304828, 'density_time': 0.9196078777313232, 'coverage_time': 0.9196078777313232, 'f1_dc_time': 0.9196078777313232, 'mmd_rbf': 0.0008161664009094238, 'mmd_rbf_time': 1.5123629570007324, 'mmd_linear': 0.07175352, 'mmd_linear_time': 0.191666841506958, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.6417009830474854, 'nspdk_mmd': 0.0014507780631631828, 'nspdk_mmd_time': 17.30957293510437, 'degree_mmd': 0.0013181175556069569, 'degree_mmd_time': 28.516249, 'cluster_mmd': 0.0046595870927406136, 'cluster_mmd_time': 36.99399, 'spectral_mmd': 0.0010444080477873818, 'spectral_mmd_time': 52.507012, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.1}
{'activations_time': 0.187727689743042, 'fid': 2.012753432356419, 'fid_time': 0.32544875144958496, 'kid': -0.28834647, 'kid_time': 0.2310657501220703, 'precision': 0.8938775510204081, 'recall': 0.9952380952380953, 'f1_pr': 0.9418486007313117, 'precision_time': 1.5982396602630615, 'recall_time': 1.5982396602630615, 'f1_pr_time': 1.5982396602630615, 'density': 1.030204081632653, 'coverage': 1.0, 'f1_dc': 1.0148873644972134, 'density_time': 1.136293649673462, 'coverage_time': 1.136293649673462, 'f1_dc_time': 1.136293649673462, 'mmd_rbf': 0.0016771554946899414, 'mmd_rbf_time': 1.8829224109649658, 'mmd_linear': 0.122554235, 'mmd_linear_time': 0.18782854080200195, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.4375710487365723, 'nspdk_mmd': 0.002964197146987091, 'nspdk_mmd_time': 15.421665668487549, 'degree_mmd': 0.0026647135934800836, 'degree_mmd_time': 23.212452, 'cluster_mmd': 0.010190365857442929, 'cluster_mmd_time': 71.999589, 'spectral_mmd': 0.001883448140966859, 'spectral_mmd_time': 52.047234, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.15}
{'activations_time': 0.1686398983001709, 'fid': 26885.916172350844, 'fid_time': 0.28678226470947266, 'kid': 30914066000.0, 'kid_time': 0.19800281524658203, 'precision': 0.7965986394557824, 'recall': 0.9904761904761905, 'f1_pr': 0.8830307640977441, 'precision_time': 1.5381748676300049, 'recall_time': 1.5381748676300049, 'f1_pr_time': 1.5381748676300049, 'density': 0.914421768707483, 'coverage': 1.0, 'f1_dc': 0.9553081508899025, 'density_time': 1.0272727012634277, 'coverage_time': 1.0272727012634277, 'f1_dc_time': 1.0272727012634277, 'mmd_rbf': 0.0061005353927612305, 'mmd_rbf_time': 1.7417218685150146, 'mmd_linear': 70.15545, 'mmd_linear_time': 0.16874074935913086, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.5031192302703857, 'nspdk_mmd': 0.008394856486529545, 'nspdk_mmd_time': 15.523000955581665, 'degree_mmd': 0.006757699031879616, 'degree_mmd_time': 25.812443, 'cluster_mmd': 0.026290684257606056, 'cluster_mmd_time': 48.18368, 'spectral_mmd': 0.0047300989785941105, 'spectral_mmd_time': 53.322597, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.25}
{'activations_time': 0.22087621688842773, 'fid': 5.662410203776915, 'fid_time': 0.3115363121032715, 'kid': -0.3716674, 'kid_time': 0.2734344005584717, 'precision': 0.736734693877551, 'recall': 0.9857142857142858, 'f1_pr': 0.8432397282397837, 'precision_time': 1.5419731140136719, 'recall_time': 1.5419731140136719, 'f1_pr_time': 1.5419731140136719, 'density': 0.8300680272108845, 'coverage': 0.9979591836734694, 'f1_dc': 0.9063138919701962, 'density_time': 1.187434196472168, 'coverage_time': 1.187434196472168, 'f1_dc_time': 1.187434196472168, 'mmd_rbf': 0.010141909122467041, 'mmd_rbf_time': 1.9245901107788086, 'mmd_linear': 1.0718715, 'mmd_linear_time': 0.22097015380859375, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.53712797164917, 'nspdk_mmd': 0.014353235697805888, 'nspdk_mmd_time': 16.348728895187378, 'degree_mmd': 0.01082799676464341, 'degree_mmd_time': 25.267623, 'cluster_mmd': 0.04325098582423492, 'cluster_mmd_time': 58.806016, 'spectral_mmd': 0.008170221440762848, 'spectral_mmd_time': 50.016734, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.33}
{'activations_time': 0.2282257080078125, 'fid': 334.61411806440367, 'fid_time': 0.3126394748687744, 'kid': 10452.392, 'kid_time': 0.26679277420043945, 'precision': 0.6482993197278911, 'recall': 0.9870748299319728, 'f1_pr': 0.7826080272330863, 'precision_time': 1.7709877490997314, 'recall_time': 1.7709877490997314, 'f1_pr_time': 1.7709877490997314, 'density': 0.6900680272108843, 'coverage': 0.9938775510204082, 'f1_dc': 0.8145771734811762, 'density_time': 1.3173837661743164, 'coverage_time': 1.3173837661743164, 'f1_dc_time': 1.3173837661743164, 'mmd_rbf': 0.0429111123085022, 'mmd_rbf_time': 1.861919641494751, 'mmd_linear': 13.780352, 'mmd_linear_time': 0.2283337116241455, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.466899871826172, 'nspdk_mmd': 0.025955135061559165, 'nspdk_mmd_time': 15.832921981811523, 'degree_mmd': 0.0197434752368173, 'degree_mmd_time': 26.182316, 'cluster_mmd': 0.07685287645595995, 'cluster_mmd_time': 69.110428, 'spectral_mmd': 0.015038023981573057, 'spectral_mmd_time': 52.494549, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.45}
{'activations_time': 2.0961248874664307, 'fid': 23.022587414439116, 'fid_time': 2.1717348098754883, 'kid': 2.3349972, 'kid_time': 2.150146961212158, 'precision': 0.5863945578231292, 'recall': 0.9891156462585035, 'f1_pr': 0.7362953572366826, 'precision_time': 3.623103141784668, 'recall_time': 3.623103141784668, 'f1_pr_time': 3.623103141784668, 'density': 0.6361904761904762, 'coverage': 0.9891156462585035, 'f1_dc': 0.774345774020655, 'density_time': 3.0583550930023193, 'coverage_time': 3.0583550930023193, 'f1_dc_time': 3.0583550930023193, 'mmd_rbf': 0.036770641803741455, 'mmd_rbf_time': 3.70058274269104, 'mmd_linear': 4.4919963, 'mmd_linear_time': 2.096228837966919, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.510349750518799, 'nspdk_mmd': 0.0325315228119204, 'nspdk_mmd_time': 16.01152467727661, 'degree_mmd': 0.024602677784997695, 'degree_mmd_time': 26.337021, 'cluster_mmd': 0.10228641035948294, 'cluster_mmd_time': 80.345655, 'spectral_mmd': 0.01859860311455641, 'spectral_mmd_time': 51.129502, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.5}
{'activations_time': 0.19870591163635254, 'fid': 36.46967416547503, 'fid_time': 0.28728294372558594, 'kid': 10.483867, 'kid_time': 0.23877692222595215, 'precision': 0.45102040816326533, 'recall': 0.9809523809523809, 'f1_pr': 0.6179414679133969, 'precision_time': 1.544201135635376, 'recall_time': 1.544201135635376, 'f1_pr_time': 1.544201135635376, 'density': 0.4594557823129252, 'coverage': 0.9489795918367347, 'f1_dc': 0.6191580553034367, 'density_time': 1.1019277572631836, 'coverage_time': 1.1019277572631836, 'f1_dc_time': 1.1019277572631836, 'mmd_rbf': 0.048069119453430176, 'mmd_rbf_time': 1.551487922668457, 'mmd_linear': 6.530257, 'mmd_linear_time': 0.19881391525268555, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.4709131717681885, 'nspdk_mmd': 0.0542622668764694, 'nspdk_mmd_time': 16.213004112243652, 'degree_mmd': 0.040942529495488156, 'degree_mmd_time': 25.263078, 'cluster_mmd': 0.16231868491398393, 'cluster_mmd_time': 63.770579, 'spectral_mmd': 0.030452287332411343, 'spectral_mmd_time': 50.043011, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.65}
{'activations_time': 0.27017927169799805, 'fid': 15843.88850198982, 'fid_time': 0.34133410453796387, 'kid': 423697340.0, 'kid_time': 0.31390953063964844, 'precision': 0.4782312925170068, 'recall': 0.9734693877551021, 'f1_pr': 0.6413879019087897, 'precision_time': 1.6657423973083496, 'recall_time': 1.6657423973083496, 'f1_pr_time': 1.6657423973083496, 'density': 0.42979591836734693, 'coverage': 0.9142857142857143, 'f1_dc': 0.5847321357124399, 'density_time': 1.1777901649475098, 'coverage_time': 1.1777901649475098, 'f1_dc_time': 1.1777901649475098, 'mmd_rbf': 0.02277219295501709, 'mmd_rbf_time': 1.8066072463989258, 'mmd_linear': 908.6465, 'mmd_linear_time': 0.2702784538269043, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.49916410446167, 'nspdk_mmd': 0.062161606840009265, 'nspdk_mmd_time': 16.50559425354004, 'degree_mmd': 0.046499120161527685, 'degree_mmd_time': 24.978098, 'cluster_mmd': 0.18011645342559168, 'cluster_mmd_time': 40.52086, 'spectral_mmd': 0.03594108492404402, 'spectral_mmd_time': 50.675757, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.7}
{'activations_time': 0.2640719413757324, 'fid': 33.64648560669531, 'fid_time': 0.3970530033111572, 'kid': 2.6494837, 'kid_time': 0.321044921875, 'precision': 0.3401360544217687, 'recall': 0.9578231292517007, 'f1_pr': 0.5020160011924872, 'precision_time': 1.5517158508300781, 'recall_time': 1.5517158508300781, 'f1_pr_time': 1.5517158508300781, 'density': 0.3330612244897959, 'coverage': 0.8414965986394558, 'f1_dc': 0.47724659482906695, 'density_time': 1.1710619926452637, 'coverage_time': 1.1710619926452637, 'f1_dc_time': 1.1710619926452637, 'mmd_rbf': 0.11165130138397217, 'mmd_rbf_time': 1.8320767879486084, 'mmd_linear': 15.496131, 'mmd_linear_time': 0.26418519020080566, 'wl_mmd': 0.0013605442176870747, 'wl_mmd_time': 2.4826221466064453, 'nspdk_mmd': 0.07255285153814495, 'nspdk_mmd_time': 16.81165599822998, 'degree_mmd': 0.05322718586633912, 'degree_mmd_time': 26.954136, 'cluster_mmd': 0.21104284909486548, 'cluster_mmd_time': 59.09915, 'spectral_mmd': 0.04052840724362583, 'spectral_mmd_time': 57.47679, 'dataset': 'lipophilicity_astrazeneca_50', 'generator_name': 'corrupted', 'degree_of_perturbation': 0.75}
