,dataset,generator,metric_name,value
0,ames_25,hiervae,node_edge_distance,397.1164982070334
1,ames_25,hiervae,node_edge_distance_time,272.9502320289612
2,ames_25,hiervae,unlabelled_graph_cycle_distance,358.04173214979124
3,ames_25,hiervae,unlabelled_graph_cycle_distance_time,197.54294443130493
4,ames_25,hiervae,cycle_distance,434.4539065558293
5,ames_25,hiervae,cycle_distance_time,196.65756940841675
6,ames_25,hiervae,neighborhood_distance,253.7909768675639
7,ames_25,hiervae,neighborhood_distance_time,262.5769326686859
8,ames_25,hiervae,neighborhood_distance_r=2,156.4009064064196
9,ames_25,hiervae,neighborhood_distance_r=2_time,392.9037961959839
10,ames_25,moflow,node_edge_distance,537.3776251134276
11,ames_25,moflow,node_edge_distance_time,280.95157265663147
12,ames_25,moflow,unlabelled_graph_cycle_distance,1274.1467899810982
13,ames_25,moflow,unlabelled_graph_cycle_distance_time,200.51560974121094
14,ames_25,moflow,cycle_distance,283.92855719453405
15,ames_25,moflow,cycle_distance_time,203.54287767410278
16,ames_25,moflow,neighborhood_distance,566.4179273535517
17,ames_25,moflow,neighborhood_distance_time,271.1288676261902
18,ames_25,moflow,neighborhood_distance_r=2,300.79473394682464
19,ames_25,moflow,neighborhood_distance_r=2_time,404.9463577270508
20,ames_25,wgan,node_edge_distance,1567.8368115610988
21,ames_25,wgan,node_edge_distance_time,268.8755474090576
22,ames_25,wgan,unlabelled_graph_cycle_distance,1538.9813462748116
23,ames_25,wgan,unlabelled_graph_cycle_distance_time,192.33127737045288
24,ames_25,wgan,cycle_distance,392.2047984564715
25,ames_25,wgan,cycle_distance_time,190.26420378684998
26,ames_25,wgan,neighborhood_distance,2003.805346623123
27,ames_25,wgan,neighborhood_distance_time,251.80980110168457
28,ames_25,wgan,neighborhood_distance_r=2,385.9301238629083
29,ames_25,wgan,neighborhood_distance_r=2_time,373.61666560173035
30,ames_25,stgg,node_edge_distance,24.66698895835146
31,ames_25,stgg,node_edge_distance_time,437.0660455226898
32,ames_25,stgg,unlabelled_graph_cycle_distance,5.891569956790644
33,ames_25,stgg,unlabelled_graph_cycle_distance_time,317.3369970321655
34,ames_25,stgg,cycle_distance,1.127202065653415
35,ames_25,stgg,cycle_distance_time,311.51340436935425
36,ames_25,stgg,neighborhood_distance,83.93768321554525
37,ames_25,stgg,neighborhood_distance_time,414.54672503471375
38,ames_25,stgg,neighborhood_distance_r=2,11.712382970930932
39,ames_25,stgg,neighborhood_distance_r=2_time,645.7059128284454
40,ames_25,gdss,node_edge_distance,555.1359185473162
41,ames_25,gdss,node_edge_distance_time,312.57302498817444
42,ames_25,gdss,unlabelled_graph_cycle_distance,425.0440397613524
43,ames_25,gdss,unlabelled_graph_cycle_distance_time,228.6258087158203
44,ames_25,gdss,cycle_distance,340.0963329163542
45,ames_25,gdss,cycle_distance_time,223.50036215782166
46,ames_25,gdss,neighborhood_distance,792.109873703685
47,ames_25,gdss,neighborhood_distance_time,311.41731452941895
48,ames_25,gdss,neighborhood_distance_r=2,548.0122246181047
49,ames_25,gdss,neighborhood_distance_r=2_time,460.8787262439728
50,ames_25,jtnn,node_edge_distance,47.68198632741214
51,ames_25,jtnn,node_edge_distance_time,273.0690975189209
52,ames_25,jtnn,unlabelled_graph_cycle_distance,68.19978593550627
53,ames_25,jtnn,unlabelled_graph_cycle_distance_time,196.44364738464355
54,ames_25,jtnn,cycle_distance,89.66408494121356
55,ames_25,jtnn,cycle_distance_time,192.70168113708496
56,ames_25,jtnn,neighborhood_distance,386.8408017407239
57,ames_25,jtnn,neighborhood_distance_time,262.3578884601593
58,ames_25,jtnn,neighborhood_distance_r=2,330.72049975116846
59,ames_25,jtnn,neighborhood_distance_r=2_time,399.8060064315796
60,ames_33,hiervae,node_edge_distance,208.28341250319212
61,ames_33,hiervae,node_edge_distance_time,1137.6565964221954
62,ames_33,hiervae,unlabelled_graph_cycle_distance,106.3186637214102
63,ames_33,hiervae,unlabelled_graph_cycle_distance_time,1074.9234454631805
64,ames_33,hiervae,cycle_distance,50.3105645686242
65,ames_33,hiervae,cycle_distance_time,1075.212328195572
66,ames_33,hiervae,neighborhood_distance,184.15133902769202
67,ames_33,hiervae,neighborhood_distance_time,1112.5726401805878
68,ames_33,hiervae,neighborhood_distance_r=2,189.88656832103499
69,ames_33,hiervae,neighborhood_distance_r=2_time,1417.5866088867188
70,ames_33,moflow,node_edge_distance,1458.9807489349064
71,ames_33,moflow,node_edge_distance_time,375.33819580078125
72,ames_33,moflow,unlabelled_graph_cycle_distance,767.1287589824797
73,ames_33,moflow,unlabelled_graph_cycle_distance_time,266.7670361995697
74,ames_33,moflow,cycle_distance,701.0865990949819
75,ames_33,moflow,cycle_distance_time,264.4784710407257
76,ames_33,moflow,neighborhood_distance,1252.9754098425817
77,ames_33,moflow,neighborhood_distance_time,357.06084632873535
78,ames_33,moflow,neighborhood_distance_r=2,544.3636602658737
79,ames_33,moflow,neighborhood_distance_r=2_time,529.3575971126556
80,ames_33,wgan,node_edge_distance,6267.418081271902
81,ames_33,wgan,node_edge_distance_time,293.8479869365692
82,ames_33,wgan,unlabelled_graph_cycle_distance,476.7639441640858
83,ames_33,wgan,unlabelled_graph_cycle_distance_time,208.51208209991455
84,ames_33,wgan,cycle_distance,960.7037254969623
85,ames_33,wgan,cycle_distance_time,204.39964747428894
86,ames_33,wgan,neighborhood_distance,2417.4494642757795
87,ames_33,wgan,neighborhood_distance_time,285.3666892051697
88,ames_33,wgan,neighborhood_distance_r=2,608.9592995340557
89,ames_33,wgan,neighborhood_distance_r=2_time,445.39420986175537
90,ames_33,stgg,node_edge_distance,26.945351461270576
91,ames_33,stgg,node_edge_distance_time,555.5230946540833
92,ames_33,stgg,unlabelled_graph_cycle_distance,10.513230054822364
93,ames_33,stgg,unlabelled_graph_cycle_distance_time,398.0538492202759
94,ames_33,stgg,cycle_distance,2.6388053501021154
95,ames_33,stgg,cycle_distance_time,393.38299536705017
96,ames_33,stgg,neighborhood_distance,60.32853613542744
97,ames_33,stgg,neighborhood_distance_time,537.8309237957001
98,ames_33,stgg,neighborhood_distance_r=2,19.86177120390694
99,ames_33,stgg,neighborhood_distance_r=2_time,837.6650414466858
100,ames_33,gdss,node_edge_distance,1264.159452872422
101,ames_33,gdss,node_edge_distance_time,429.9148488044739
102,ames_33,gdss,unlabelled_graph_cycle_distance,442.1126492743392
103,ames_33,gdss,unlabelled_graph_cycle_distance_time,311.91535329818726
104,ames_33,gdss,cycle_distance,619.8882799521737
105,ames_33,gdss,cycle_distance_time,306.8839912414551
106,ames_33,gdss,neighborhood_distance,1421.4788988863265
107,ames_33,gdss,neighborhood_distance_time,418.96838569641113
108,ames_33,gdss,neighborhood_distance_r=2,657.1858693783352
109,ames_33,gdss,neighborhood_distance_r=2_time,637.1564679145813
110,ames_33,jtnn,node_edge_distance,120.93015985428583
111,ames_33,jtnn,node_edge_distance_time,392.554532289505
112,ames_33,jtnn,unlabelled_graph_cycle_distance,62.77496233905765
113,ames_33,jtnn,unlabelled_graph_cycle_distance_time,282.65839409828186
114,ames_33,jtnn,cycle_distance,104.39034882048381
115,ames_33,jtnn,cycle_distance_time,273.8810839653015
116,ames_33,jtnn,neighborhood_distance,206.51421118978016
117,ames_33,jtnn,neighborhood_distance_time,379.7931127548218
118,ames_33,jtnn,neighborhood_distance_r=2,203.9196060766306
119,ames_33,jtnn,neighborhood_distance_r=2_time,574.9565892219543
120,ames_40,hiervae,node_edge_distance,357.6338577875876
121,ames_40,hiervae,node_edge_distance_time,446.5510573387146
122,ames_40,hiervae,unlabelled_graph_cycle_distance,559.2472186720942
123,ames_40,hiervae,unlabelled_graph_cycle_distance_time,328.2870740890503
124,ames_40,hiervae,cycle_distance,489.4391323315158
125,ames_40,hiervae,cycle_distance_time,320.09772539138794
126,ames_40,hiervae,neighborhood_distance,774.4690949292761
127,ames_40,hiervae,neighborhood_distance_time,425.133100271225
128,ames_40,hiervae,neighborhood_distance_r=2,358.7358413185326
129,ames_40,hiervae,neighborhood_distance_r=2_time,641.6574959754944
130,ames_40,moflow,node_edge_distance,1522.711523121145
131,ames_40,moflow,node_edge_distance_time,433.8070785999298
132,ames_40,moflow,unlabelled_graph_cycle_distance,2032.0984785452238
